,GoalSetting,StrategicPlanning,SelfEvaluation,TaskStrategies,Elaboration,HelpSeeking,only lecture,Atry to lecture,explore,only asessment,Lcomplete to Atry,lecture to Acomplete,hrs,prior_exp,crs_str,crs_fin,int_topic,int_assess,edu,age,isfemale,emp_student,emp_job,days_act,num_events,num_ses,Gano
183,2.5,2.0,3.0,2.16666666666667,2.66666666666667,1.5,0,3,5,0,0,0,5,1,0,0,1,1,3,25,0,1,0,2,3,2,0
184,2.0,2.0,2.33333333333333,2.16666666666667,3.0,2.5,0,3,0,0,0,0,4,1,3,1,1,1,4,28,0,0,1,5,4,5,0
185,2.0,2.0,2.33333333333333,2.16666666666667,2.0,1.0,2,3,0,0,0,0,5,1,2,2,1,1,5,28,0,0,1,2,1,5,0
186,1.0,1.75,3.0,2.33333333333333,3.33333333333333,2.5,0,3,5,4,0,0,6,1,1,0,1,1,4,42,0,0,1,10,5,29,0
187,1.0,2.0,3.66666666666667,2.33333333333333,3.0,2.25,0,3,5,8,0,0,3,1,0,0,1,1,4,23,0,1,0,10,2,15,0
188,0.75,2.75,3.33333333333333,2.33333333333333,2.66666666666667,0.5,0,3,5,0,0,0,3,0,3,2,0,0,4,35,0,0,1,3,6,6,0
189,2.0,2.0,2.66666666666667,2.33333333333333,2.0,2.5,2,3,9,0,0,0,4,0,0,0,0,0,5,20,0,1,0,9,1,19,0
190,1.5,1.75,2.0,2.5,3.33333333333333,2.5,2,3,5,6,0,0,2,0,5,5,1,1,2,39,0,0,0,10,4,28,0
191,2.25,2.0,3.0,2.5,2.0,2.5,4,3,0,0,0,0,4,0,0,0,0,0,2,16,0,0,0,3,2,5,0
192,1.75,2.25,2.0,1.5,2.0,2.25,0,4,4,0,7,0,4,0,0,0,1,1,2,30,0,0,1,8,1,14,0
193,2.0,2.0,2.0,2.0,2.0,1.0,0,4,0,7,0,8,3,0,1,0,1,1,4,30,0,1,0,10,1,26,0
194,2.0,2.0,2.0,2.0,2.0,2.0,0,4,0,6,0,0,2,0,0,0,1,1,3,32,0,0,1,3,1,11,0
195,1.5,2.5,3.0,2.0,2.0,2.5,0,4,0,0,0,0,2,0,1,1,1,1,4,31,0,0,1,8,10,10,0
196,2.0,2.0,2.0,2.0,2.0,1.5,3,4,5,6,0,0,4,1,5,2,0,0,4,28,0,0,1,7,2,9,0
197,1.75,1.75,2.66666666666667,2.16666666666667,3.0,1.75,0,4,5,8,0,0,7,1,1,0,1,1,4,20,0,1,0,10,4,26,0
198,2.25,1.25,1.66666666666667,2.16666666666667,3.0,2.0,3,4,7,7,0,9,4,0,0,0,1,1,4,22,0,1,0,16,2,30,0
199,1.0,2.0,2.0,2.33333333333333,3.33333333333333,3.0,0,4,4,0,0,0,5,0,0,0,1,1,2,20,1,0,1,4,1,9,0
